City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,78.01,moderate rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
4,Veraval,IN,77.86,overcast clouds,20.9,70.3667,Lords Inn Somnath
9,Laguna,US,75.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
11,Victoria,HK,77.0,clear sky,22.2855,114.1577,Mini Hotel Central
13,Nabire,ID,82.67,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
20,Aneho,TG,84.2,light rain,6.2333,1.6,Hotel La Linette
23,Rikitea,PF,77.58,light rain,-23.1203,-134.9692,Pension Maro'i
26,Saint-Philippe,RE,77.0,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Tual,ID,83.14,clear sky,-5.6667,132.75,Grand Vilia Hotel
29,Port Blair,IN,77.0,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
35,Mount Isa,AU,82.4,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
36,Vaini,TO,84.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
39,Cabo San Lucas,MX,80.01,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
40,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
50,Puerto Ayora,EC,75.99,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Dicabisagan,PH,81.39,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
57,Sola,VU,89.6,broken clouds,-13.8833,167.55,Leumerus Bungalows
66,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Saint George,US,75.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
68,Labuhan,ID,79.59,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
70,Srandakan,ID,79.9,scattered clouds,-7.9386,110.2506,Puri Brata
72,Vila Velha,BR,75.2,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
78,Acapulco,MX,82.4,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
79,Soyo,AO,79.38,light rain,-6.1349,12.3689,Hotel Mpampa
83,Butaritari,KI,82.0,light rain,3.0707,172.7902,Isles Sunset Lodge
89,Atuona,PF,80.55,scattered clouds,-9.8,-139.0333,Villa Enata
90,Avarua,CK,82.4,few clouds,-21.2078,-159.775,Paradise Inn
91,Lorengau,PG,84.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
93,Coahuayana,MX,80.6,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
95,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
96,Bengkulu,ID,78.08,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
99,Tabuk,PH,82.65,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
102,Hilo,US,82.4,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
108,Faanui,PF,81.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
112,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
113,Souillac,MU,77.0,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
117,Hambantota,LK,75.2,few clouds,6.1241,81.1185,Bungalow 63
118,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
