City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Boca Do Acre,BR,-8.7522,-67.3978,73.18,97,65,1.7,broken clouds
1,Nanortalik,GL,60.1432,-45.2371,36.7,77,100,4.59,overcast clouds
2,Albany,US,42.6001,-73.9662,36.0,58,40,1.99,scattered clouds
3,Kapaa,US,22.0752,-159.319,78.01,83,90,9.22,moderate rain
4,Veraval,IN,20.9,70.3667,77.86,78,100,7.9,overcast clouds
5,Lebu,CL,-37.6167,-73.65,53.58,82,35,13.85,scattered clouds
6,Eganville,CA,45.5334,-77.0994,32.0,40,90,10.36,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,44.6,57,0,8.05,clear sky
8,Geraldton,AU,-28.7667,114.6,73.4,38,92,18.41,overcast clouds
9,Laguna,US,38.421,-121.4238,75.0,35,1,12.66,clear sky
10,Punta Arenas,CL,-53.15,-70.9167,41.0,60,0,3.44,clear sky
11,Victoria,HK,22.2855,114.1577,77.0,78,0,1.01,clear sky
12,Pizhanka,RU,57.4604,48.542,37.31,93,100,16.84,overcast clouds
13,Nabire,ID,-3.3667,135.4833,82.67,79,89,2.19,overcast clouds
14,Pangnirtung,CA,66.1451,-65.7125,25.5,97,100,4.12,snow
15,Yaan,NG,7.3833,8.5667,80.6,72,49,9.93,light rain
16,Jamestown,US,42.097,-79.2353,30.0,86,90,10.36,light snow
17,Busselton,AU,-33.65,115.3333,60.01,84,100,3.0,overcast clouds
18,Hermanus,ZA,-34.4187,19.2345,68.0,86,73,10.0,broken clouds
19,Hobart,AU,-42.8794,147.3294,59.0,44,75,19.57,broken clouds
20,Aneho,TG,6.2333,1.6,84.2,79,20,9.22,light rain
21,Pavlodar,KZ,52.3,76.95,26.6,80,75,11.18,broken clouds
22,Edson,CA,53.5835,-116.4356,51.8,46,1,16.11,clear sky
23,Rikitea,PF,-23.1203,-134.9692,77.58,74,100,11.99,light rain
24,Sioux Lookout,CA,50.1001,-91.917,37.4,44,20,2.3,few clouds
25,Bredasdorp,ZA,-34.5322,20.0403,62.6,94,100,9.22,overcast clouds
26,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,75,9.22,broken clouds
27,Lagoa,PT,39.05,-27.9833,63.12,86,100,36.48,overcast clouds
28,Tual,ID,-5.6667,132.75,83.14,70,9,2.55,clear sky
29,Port Blair,IN,11.6667,92.75,77.0,83,40,1.14,scattered clouds
30,Half Moon Bay,US,37.4636,-122.4286,57.99,87,90,9.22,mist
31,Tura,IN,25.5198,90.2201,74.5,69,100,2.3,overcast clouds
32,Richards Bay,ZA,-28.783,32.0377,67.23,88,74,7.81,broken clouds
33,Chokurdakh,RU,70.6333,147.9167,15.98,90,100,12.26,light snow
34,Kaitangata,NZ,-46.2817,169.8464,59.0,73,25,1.01,scattered clouds
35,Mount Isa,AU,-20.7333,139.5,82.4,15,100,21.85,overcast clouds
36,Vaini,TO,-21.2,-175.2,84.2,74,75,5.75,broken clouds
37,Yulara,AU,-25.2406,130.9889,71.6,28,0,16.11,clear sky
38,Te Anau,NZ,-45.4167,167.7167,56.44,78,100,6.49,moderate rain
39,Cabo San Lucas,MX,22.8909,-109.9124,80.01,25,40,6.91,scattered clouds
40,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,40,4.61,scattered clouds
41,Yellowknife,CA,62.456,-114.3525,18.0,57,75,18.41,light snow
42,Bluff,NZ,-46.6,168.3333,55.0,84,100,6.64,overcast clouds
43,Ribeira Grande,PT,38.5167,-28.7,64.29,83,100,37.6,overcast clouds
44,Cape Town,ZA,-33.9258,18.4232,66.0,88,0,4.61,clear sky
45,Omsukchan,RU,62.5333,155.8,28.53,83,100,9.13,overcast clouds
46,Longyearbyen,SJ,78.2186,15.6401,19.4,73,75,14.97,broken clouds
47,Korfovskiy,RU,48.2183,135.0564,66.2,14,0,8.95,clear sky
48,Northam,GB,51.0333,-4.2167,44.01,78,5,5.01,clear sky
49,Zafra,ES,38.4167,-6.4167,55.99,92,100,1.01,overcast clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,75.99,96,56,1.01,broken clouds
51,Mmathubudukwane,BW,-24.6,26.4333,50.0,76,0,3.44,clear sky
52,Vila Franca Do Campo,PT,37.7167,-25.4333,64.4,94,75,23.02,broken clouds
53,Mar Del Plata,AR,-38.0023,-57.5575,68.0,83,40,16.11,scattered clouds
54,Broome,US,42.2506,-75.833,32.0,80,90,12.66,light snow
55,Dicabisagan,PH,17.0818,122.4157,81.39,75,100,6.26,overcast clouds
56,Katherine,AU,-14.4667,132.2667,91.4,46,0,6.91,clear sky
57,Sola,VU,-13.8833,167.55,89.6,74,75,4.61,broken clouds
58,Fortuna,US,40.5982,-124.1573,57.0,87,75,16.11,broken clouds
59,Green River,US,41.5286,-109.4662,41.0,48,90,13.8,overcast clouds
60,Nuuk,GL,64.1835,-51.7216,28.4,74,20,9.22,few clouds
61,Krasnoselkup,RU,65.7,82.4667,17.19,92,38,12.46,scattered clouds
62,Torbay,CA,47.6666,-52.7314,39.99,81,20,3.44,few clouds
63,Chibuto,MZ,-24.6867,33.5306,63.07,94,0,3.15,clear sky
64,Konosha,RU,60.9736,40.257,33.85,97,100,8.21,overcast clouds
65,Pisco,PE,-13.7,-76.2167,66.0,94,0,19.57,clear sky
66,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,18.41,scattered clouds
67,Saint George,US,37.1041,-113.5841,75.0,10,1,17.27,clear sky
68,Labuhan,ID,-6.8844,112.2051,79.59,72,35,3.13,scattered clouds
69,Petropavl,KZ,54.8753,69.1628,28.4,74,0,15.66,clear sky
70,Srandakan,ID,-7.9386,110.2506,79.9,74,40,3.6,scattered clouds
71,Inhambane,MZ,-23.865,35.3833,69.98,81,0,4.56,clear sky
72,Vila Velha,BR,-20.3297,-40.2925,75.2,78,0,10.36,clear sky
73,Wanaka,NZ,-44.7,169.15,55.99,79,82,1.99,broken clouds
74,Mataura,NZ,-46.1927,168.8643,55.0,84,75,2.71,broken clouds
75,Dikson,RU,73.5069,80.5464,25.5,97,100,12.73,overcast clouds
76,Isilkul,RU,54.9109,71.2728,29.44,66,0,7.63,clear sky
77,Paamiut,GL,61.994,-49.6678,33.24,79,100,4.56,overcast clouds
78,Acapulco,MX,16.8634,-99.8901,82.4,65,75,4.61,broken clouds
79,Soyo,AO,-6.1349,12.3689,79.38,87,100,3.51,light rain
80,Chifeng,CN,42.2683,118.9636,54.77,36,100,10.6,overcast clouds
81,Provideniya,RU,64.3833,-173.3,33.8,55,0,1.12,clear sky
82,Ahipara,NZ,-35.1667,173.1667,67.05,63,58,4.47,broken clouds
83,Butaritari,KI,3.0707,172.7902,82.0,78,100,15.05,light rain
84,Fairbanks,US,64.8378,-147.7164,48.0,27,1,3.44,clear sky
85,Esperance,AU,-33.8667,121.9,60.8,77,90,6.91,overcast clouds
86,Tuatapere,NZ,-46.1333,167.6833,55.0,84,100,2.93,overcast clouds
87,Sitka,US,57.0531,-135.33,55.4,35,20,10.36,few clouds
88,Raudeberg,NO,61.9875,5.1352,39.0,76,98,7.09,overcast clouds
89,Atuona,PF,-9.8,-139.0333,80.55,74,27,20.6,scattered clouds
90,Avarua,CK,-21.2078,-159.775,82.4,65,20,17.27,few clouds
91,Lorengau,PG,-2.0226,147.2712,84.92,72,100,5.48,overcast clouds
92,Senovo,SI,46.0236,15.4769,44.6,81,22,8.05,few clouds
93,Coahuayana,MX,18.7333,-103.6833,80.6,29,1,11.5,clear sky
94,Chunskiy,RU,56.0815,99.6342,24.4,56,84,4.88,broken clouds
95,Mahebourg,MU,-20.4081,57.7,77.0,94,40,4.61,scattered clouds
96,Bengkulu,ID,-3.8004,102.2655,78.08,84,62,2.98,broken clouds
97,Selfoss,IS,63.9331,-20.9971,37.99,96,100,1.99,overcast clouds
98,Adrar,MR,20.5022,-10.0711,77.63,11,3,12.01,clear sky
99,Tabuk,PH,17.4189,121.4443,82.65,64,98,3.4,overcast clouds
100,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,81,90,4.61,overcast clouds
101,Coquimbo,CL,-29.9533,-71.3436,59.0,88,0,3.44,clear sky
102,Hilo,US,19.7297,-155.09,82.4,54,75,9.22,broken clouds
103,New Norfolk,AU,-42.7826,147.0587,57.99,64,85,8.99,overcast clouds
104,Uray,RU,60.1247,64.7758,35.56,82,30,8.05,scattered clouds
105,Juneau,US,58.3019,-134.4197,53.6,16,20,13.8,few clouds
106,Shimoda,JP,34.6667,138.95,66.2,34,0,10.36,clear sky
107,Dire,ML,12.2833,-10.9667,86.49,46,72,7.02,broken clouds
108,Faanui,PF,-16.4833,-151.75,81.54,72,61,14.52,light rain
109,Airai,TL,-8.9266,125.4092,71.1,61,13,1.95,few clouds
110,Novorzhev,RU,57.0294,29.3338,42.04,87,100,7.78,overcast clouds
111,San Quintin,MX,30.4833,-115.95,59.47,64,8,14.12,clear sky
112,Quatre Cocos,MU,-20.2078,57.7625,77.0,94,40,4.61,scattered clouds
113,Souillac,MU,-20.5167,57.5167,77.0,94,40,4.61,scattered clouds
114,Komsomolskiy,UZ,40.4272,71.7189,42.8,81,3,4.61,clear sky
115,Port Alfred,ZA,-33.5906,26.891,69.37,85,100,6.4,moderate rain
116,Charters Towers,AU,-20.1,146.2667,66.51,96,100,15.7,light rain
117,Hambantota,LK,6.1241,81.1185,75.2,100,20,2.3,few clouds
118,San Cristobal,VE,7.7669,-72.225,80.6,69,40,2.3,scattered clouds
119,Guerrero Negro,MX,27.9769,-114.0611,60.67,69,100,17.78,overcast clouds
120,Katsuura,JP,35.1333,140.3,68.0,37,40,8.05,scattered clouds
121,Batagay-Alyta,RU,67.8006,130.4114,7.74,78,94,2.19,overcast clouds
122,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,100,75,5.75,light intensity drizzle
123,Anderson,US,34.5334,-82.6499,50.0,34,1,19.57,clear sky
124,Flinders,AU,-34.5833,150.8552,66.0,45,0,5.99,clear sky
125,Salalah,OM,17.0151,54.0924,78.8,73,0,1.14,clear sky
126,Nemuro,JP,43.3236,145.575,37.4,70,75,12.66,broken clouds
127,Ranfurly,NZ,-45.1333,170.1,55.99,76,11,10.47,few clouds
128,Nouadhibou,MR,20.931,-17.0347,64.4,82,0,23.02,clear sky
129,Poltavka,RU,54.3663,71.7632,29.3,67,0,7.45,clear sky
130,Shakawe,BW,-18.3667,21.85,57.97,56,3,5.84,clear sky
131,Qaanaaq,GL,77.484,-69.3632,7.72,73,60,8.68,broken clouds
132,Pevek,RU,69.7008,170.3133,30.07,70,10,16.22,clear sky
133,Hithadhoo,MV,-0.6,73.0833,82.42,67,39,5.28,scattered clouds
134,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,20,21.85,snow
135,Isangel,VU,-19.55,169.2667,84.2,84,75,8.05,broken clouds
136,Hasaki,JP,35.7333,140.8333,73.0,26,20,13.8,few clouds
137,Lovozero,RU,68.005,35.0117,31.28,98,100,1.77,light snow
138,Choix,MX,26.7092,-108.3219,82.33,19,98,9.69,overcast clouds
139,Norman Wells,CA,65.282,-126.8329,33.8,37,75,24.16,broken clouds
140,Pavino,RU,59.1139,46.1414,34.88,97,100,9.86,snow
